JJ_CTRL_1	BM_CTRL_2	BM_CTRL_3	BM_AMIL_1	BM_AMIL_2	BM_AMIL_3	BM_CTRL_1	JJ_CTRL_2	JJ_CTRL_3	JJ_AMIL_1	JJ_AMIL_2	JJ_AMIL_3	BM_TG_1	BM_TG_2	BM_TG_3	JJ_TG_1	JJ_TG_2	JJ_TG_3
ENSG00000092345	0	0	0	0	0	0	0	1	1	1	3	1	0	0	0	1	0	1
ENSG00000092377	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000092421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000092439	4164	6418	8456	10855	16136	10191	1628	2350	1484	1982	3424	3318	6443	6313	7483	2410	4439	3199
ENSG00000092445	997	1715	2042	299	405	212	416	583	355	299	447	342	1151	943	1314	312	346	296
ENSG00000092470	3555	4634	5521	2965	3358	2200	1512	1843	1308	1222	2029	1855	6635	5478	7619	1811	2894	2147
ENSG00000092529	8	5	3	21	21	13	3	1	1	0	7	4	16	9	7	1	2	0
ENSG00000092531	2798	4578	6187	5720	6359	4032	1989	2494	1536	1862	3261	3065	4096	3796	4567	2216	3537	2609
ENSG00000092607	1	1	6	37	36	26	763	916	789	781	1138	1147	3	2	5	497	719	629
ENSG00000092621	6662	10279	11668	10734	11519	9028	5469	7219	3921	1288	2564	1369	8541	8493	10052	5894	9803	6032
ENSG00000092758	287	330	417	257	241	163	261	389	275	160	226	208	270	181	219	172	263	190
ENSG00000092820	8000	9803	12887	10003	12759	8616	6628	9072	5534	5793	9831	10321	7812	5753	8116	6222	9564	7323
ENSG00000092841	17057	21480	26389	11019	12861	8905	11239	14455	9815	11037	15821	18411	17705	13654	18302	12324	17377	11593
ENSG00000092847	753	980	1238	803	862	674	1530	2049	1387	993	1764	1850	938	766	1124	1447	2480	1720
ENSG00000092850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000092853	639	1022	1119	241	297	216	1672	2186	1216	1391	2495	1805	1382	935	1350	2045	3477	2488
ENSG00000092871	920	1139	1485	1106	1218	942	1940	2597	1691	1410	2406	2990	1165	1054	1389	2432	4149	2689
ENSG00000092929	1963	2418	2703	995	1103	470	1	2	1	1	0	0	3293	2461	3107	4	1	2
ENSG00000092931	198	303	355	164	210	138	401	536	332	243	485	432	312	290	346	649	1081	737
ENSG00000092964	2	0	2	5	0	1	2420	2867	1756	1119	2016	2717	1	0	0	2083	3161	2052
ENSG00000092969	0	2	2	1	0	0	1	2	1	1	1	2	1	0	0	0	0	1
ENSG00000092978	698	1000	1249	1877	2329	1546	310	437	266	396	584	697	963	841	1007	329	578	445
ENSG00000093000	5177	7219	9240	8749	11189	8529	3427	4865	3082	3111	5249	5541	5281	4596	6028	2587	4724	3228
ENSG00000093009	620	941	1402	130	147	71	2011	2793	1684	771	1698	1183	1013	846	1220	2851	4315	3187
ENSG00000093010	1530	1924	1994	2181	2277	1501	1093	1288	898	1047	1444	1752	1996	1576	1732	1224	1521	1243
ENSG00000093072	1204	975	1274	1527	562	396	952	1313	1012	1045	1774	2079	683	301	567	1421	2236	1818
ENSG00000093100	2	4	0	2	1	4	2	4	0	1	4	2	0	0	0	0	4	1
ENSG00000093134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000093144	3334	4744	6020	6258	6906	5014	1786	2492	1534	1977	3487	3519	4347	3508	4396	1746	3281	2217
ENSG00000093167	1094	1657	2429	2228	3070	1955	741	1075	544	733	1468	1525	2075	1942	2382	1094	1695	1133
ENSG00000093183	2104	3065	3815	1594	1708	1202	1719	2203	1434	1385	2422	2438	3231	2780	3252	1691	2973	1946
ENSG00000093217	294	459	598	125	106	89	326	389	203	115	196	210	451	329	460	349	571	396
ENSG00000094631	1202	1508	2027	615	635	320	671	1035	702	297	534	645	3099	2423	3355	1296	2140	1445
ENSG00000094661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000094755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000094796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000094804	4213	6858	8532	2213	3027	2022	3822	4101	2773	2639	4409	3792	5913	4604	6558	3628	5483	4118
ENSG00000094841	643	909	1149	915	948	630	302	410	204	234	423	466	940	789	973	221	453	296
ENSG00000094880	1190	1845	2658	2313	3020	1939	1995	2680	1542	2082	3123	3471	1813	1628	2059	2362	3884	2825
ENSG00000094914	1516	2112	4159	1980	3183	1795	906	981	619	870	1310	1448	3290	2884	3956	1522	2232	1612
ENSG00000094916	8426	10293	12863	12858	14817	11405	9400	13849	9065	7881	14532	12816	11722	9053	12967	9105	16811	11240
ENSG00000094963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000094975	868	1273	1567	1421	1635	1233	756	1157	794	688	1158	1242	1484	1193	1352	943	1626	1125
ENSG00000095002	3908	5561	7972	4666	5727	3892	2400	3188	2285	1998	3549	3200	5336	4257	5732	2520	4525	3135
ENSG00000095015	2576	3150	4058	5417	6238	4852	1066	1439	1094	1192	1958	2384	2665	2147	2840	933	1698	1143
ENSG00000095059	1706	3454	3432	2116	3630	2383	1701	2301	1972	2198	3426	3264	2314	2081	2615	2364	3521	2646
ENSG00000095066	260	291	391	161	166	57	170	190	162	142	192	259	727	598	664	376	603	471
ENSG00000095110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000095139	13131	19395	24027	24986	30313	23162	11408	14369	9403	12684	20444	22617	13987	11751	14626	9639	16369	11219
ENSG00000095203	334	563	725	1158	1508	978	113	179	90	141	259	281	474	363	510	112	206	119
ENSG00000095209	1903	2908	3921	4875	6636	3799	664	883	638	1023	1690	1691	3381	2859	3286	832	1462	1209
ENSG00000095261	2298	4007	4387	6156	8268	5480	1538	1784	1161	1668	2970	3599	2901	2516	3365	1433	2329	1681
ENSG00000095303	77	115	138	69	42	40	7	10	14	12	4	6	78	42	74	2	4	5
ENSG00000095319	5169	6824	8273	1508	1624	1094	4630	6748	3554	2898	5630	5245	7938	6023	8581	5695	9329	6355
ENSG00000095321	390	532	562	84	95	48	348	413	293	203	286	334	562	466	574	393	520	421
ENSG00000095370	3544	4841	5926	2144	2210	1558	78	129	96	19	46	79	3557	3287	3601	35	72	49
ENSG00000095380	1978	2976	3476	1820	1685	1279	1204	1369	1010	1017	1784	1836	1785	1149	1575	861	1418	1040
ENSG00000095383	55	69	97	25	24	17	7	6	8	8	8	8	190	188	150	11	17	16
ENSG00000095397	478	553	746	1750	1802	991	2196	3294	2645	1979	2984	4599	736	506	619	2305	4260	3169
ENSG00000095464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000095485	1321	2022	2724	2450	3103	2466	1026	1284	800	1022	1626	1821	2092	1871	2387	1369	2222	1645
ENSG00000095539	0	0	0	0	2	0	11	32	23	7	19	9	0	0	0	14	12	16
ENSG00000095564	1509	2183	3219	3398	4441	3081	1130	1709	1076	897	1533	1939	2374	1747	2388	1238	2565	1622
ENSG00000095574	1445	2059	2732	3099	4030	2928	1270	1757	1220	1229	2102	2133	1431	1320	1614	1173	2226	1600
ENSG00000095585	3087	3697	4818	2496	3358	1883	17	22	20	6	14	13	2875	2535	3227	32	44	34
ENSG00000095587	57	65	77	88	59	61	2	0	3	3	7	2	169	120	170	7	13	8
ENSG00000095596	0	1	0	1	0	0	21	41	21	18	36	26	1	0	1	10	24	24
ENSG00000095627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000095637	23	26	29	29	22	15	8	17	11	9	24	19	73	61	85	31	38	20
ENSG00000095713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000095739	0	0	0	0	0	0	69	135	90	66	115	156	0	0	0	88	155	134
ENSG00000095752	20	38	38	85	105	77	0	3	2	7	10	14	35	20	28	4	5	2
ENSG00000095777	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	2	1
ENSG00000095787	3723	5087	6592	12851	16689	10520	5171	7528	5006	5310	8228	9392	4952	4104	5196	5588	9665	6890
ENSG00000095794	351	442	593	742	1082	677	197	227	160	227	399	437	528	433	517	219	295	195
ENSG00000095906	2171	1980	2146	1911	2029	873	1154	1232	1073	884	1163	1320	2588	1741	2053	1440	1710	1535
ENSG00000095917	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000095932	107	115	150	23	28	37	17	18	18	14	10	8	55	28	49	11	8	7
ENSG00000095951	498	583	779	2853	3802	3028	1533	2082	1375	1882	2531	3182	806	702	807	2008	3245	1918
ENSG00000095970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000095981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000096006	13	11	23	12	8	5	4902	6223	4453	4616	6245	3414	10	10	17	4620	6782	6576
ENSG00000096060	1165	1704	2225	5158	4453	3010	9613	11457	7281	7202	11861	11048	1089	912	1506	6696	10713	7613
ENSG00000096063	10167	14017	17951	16683	19615	12730	9778	12986	9384	9176	16233	15423	9766	7634	10787	8582	15488	11642
ENSG00000096070	1498	1826	2101	3627	3886	2932	1122	1373	819	1264	2063	2549	2705	1926	2427	1256	2082	1257
ENSG00000096080	1729	2301	2910	1942	2180	2031	1922	2180	1758	1868	3593	3542	2115	1936	2535	2124	2908	2142
ENSG00000096088	0	0	0	0	0	0	0	0	0	0	0	0	5	4	3	0	0	0
ENSG00000096092	277	450	806	230	216	143	450	615	562	583	633	581	917	699	912	875	1430	1014
ENSG00000096093	207	268	372	114	113	58	136	193	156	130	182	172	544	392	557	237	525	413
ENSG00000096264	1	0	0	1	0	0	35	39	34	32	69	80	0	0	0	35	41	27
ENSG00000096384	70736	104582	132985	81799	88046	60630	116221	135340	80440	89476	147299	163997	97827	74517	104661	116657	186051	125096
ENSG00000096395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000096401	3542	5002	6607	6682	8555	6706	4661	5259	3769	4208	8629	8316	6063	4867	6407	5099	8721	6213
ENSG00000096433	7195	10226	11985	5449	5375	3200	3310	4363	2740	2281	3774	3749	10669	6688	9852	3055	5223	3612
ENSG00000096654	706	1225	1631	1683	2430	1815	636	1012	734	505	896	842	1090	953	1294	571	1101	780
ENSG00000096696	0	0	0	0	0	0	7	7	5	8	12	13	0	0	0	8	10	6
ENSG00000096717	1030	1528	1809	2246	2809	1947	992	1319	813	970	1474	1722	1292	1132	1314	825	1632	1171
ENSG00000096746	6138	8838	11204	12996	15349	12397	7414	10498	5627	8599	13783	14226	7033	5492	7755	5985	10645	7267
ENSG00000096872	117	159	189	424	509	361	294	326	185	400	621	596	279	275	373	393	663	510
ENSG00000096968	216	321	418	733	853	592	126	198	130	100	170	215	575	460	559	157	303	170
ENSG00000096996	392	423	477	269	223	141	943	1185	839	768	1201	1197	218	86	213	929	1188	861
ENSG00000097007	4293	5109	6224	4305	4659	2953	2088	2706	1804	1366	2280	2552	5008	4019	5280	1697	2461	1849
ENSG00000097021	3171	3747	3498	851	821	501	1872	2409	1200	988	1816	2408	3567	2275	3433	1813	2643	1882
ENSG00000097033	3301	4531	6040	9818	12538	8699	1674	2407	1586	2450	3660	4579	5593	4761	5967	2482	4459	2923
ENSG00000097046	1020	1426	1848	900	870	524	1365	1778	1134	961	1802	1457	2370	2065	2693	1440	2783	2011
ENSG00000097096	0	0	0	0	0	0	3	4	2	1	5	1	0	0	0	1	4	0
ENSG00000099139	0	0	0	0	0	0	12	11	10	14	25	9	0	0	0	14	36	36
ENSG00000099194	10859	17762	20657	4401	4866	3356	14767	22752	15853	6789	11946	12569	8527	6614	10150	7219	13613	9700
ENSG00000099203	525	624	688	695	672	468	856	1081	905	935	1175	1220	824	746	758	870	1231	1059
ENSG00000099204	3203	4229	5161	4150	4129	3175	333	485	328	296	400	524	3202	2516	3467	271	533	399
ENSG00000099219	2354	3391	4313	2948	3483	2296	1298	1747	1313	904	1523	1467	3200	2655	3349	1114	1985	1503
ENSG00000099246	605	946	1201	1322	1740	1070	1389	2405	1364	2094	3265	3721	774	611	711	1513	2587	1835
ENSG00000099250	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ENSG00000099251	53	97	129	104	129	80	57	73	46	26	40	47	208	186	224	59	127	67
ENSG00000099256	0	0	1	0	0	0	159	215	118	106	223	143	0	0	0	108	159	144
ENSG00000099260	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0
ENSG00000099282	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0
ENSG00000099284	0	1	2	0	6	1	0	0	0	0	3	3	2	1	2	0	0	0
ENSG00000099290	165	291	287	299	508	315	28	30	13	22	46	39	455	452	547	93	134	92
ENSG00000099308	1001	1238	1429	958	895	627	723	972	675	603	955	1157	1454	1311	1533	687	1020	843
ENSG00000099326	929	1172	1715	1025	998	529	346	541	314	374	602	951	1813	1132	1414	376	843	534
ENSG00000099330	395	517	653	200	162	93	463	558	361	293	441	632	644	542	679	537	786	646
ENSG00000099331	1685	1899	2393	1386	1381	747	2753	3710	2392	2026	3381	3417	3472	2335	3016	3527	5638	4176
ENSG00000099337	554	665	822	387	314	186	40	45	27	29	49	36	486	373	487	20	27	28
ENSG00000099338	6	22	15	173	164	92	0	2	1	1	5	5	31	28	36	5	5	4
ENSG00000099341	4504	6579	6421	6498	9510	3721	6207	5446	3979	6393	11191	9249	6408	5105	6966	6755	9068	6472
ENSG00000099364	1562	1726	1929	686	673	410	1456	1920	1509	1426	1901	2171	1451	1066	1280	946	1462	1118
ENSG00000099365	38	49	55	24	17	14	11	18	4	9	6	19	38	28	33	1	11	4
ENSG00000099377	26	26	32	9	8	5	8	16	19	5	10	7	14	4	4	8	15	11
ENSG00000099381	3596	3605	4211	5662	7493	4308	3089	3919	2550	3026	3960	5398	4809	4121	4301	3257	4779	3542
ENSG00000099385	655	759	1316	394	354	170	806	893	608	285	607	651	837	658	841	713	823	698
ENSG00000099399	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000099617	0	0	0	7	10	10	14	15	16	6	19	10	0	0	0	4	4	5
ENSG00000099622	6448	8194	9794	6594	6039	4716	5956	7089	3999	4983	8529	8119	6689	4966	6377	5106	7454	5599
ENSG00000099624	4326	2705	4690	4094	4432	2129	1149	2948	1118	1670	2129	1944	4045	2933	3443	1962	2488	2155
ENSG00000099625	26	27	33	14	26	7	63	72	59	58	62	76	26	16	13	60	69	78
ENSG00000099715	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1
ENSG00000099721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000099725	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000099769	12	10	7	21	29	3	0	0	0	0	0	1	31	17	17	0	1	0
ENSG00000099783	12180	15839	21757	17265	21478	16434	11291	13440	8531	12078	18889	20149	15311	10849	14988	11876	19011	13743
ENSG00000099785	196	212	252	130	105	58	170	213	129	106	152	151	242	196	188	193	224	175
ENSG00000099795	2685	2225	2280	1533	2189	854	1920	2393	1213	1338	1552	2346	2560	1837	2157	1658	1929	1705
ENSG00000099797	1251	2581	2014	1722	2588	1040	2745	2901	1429	2513	2660	3203	6368	5118	6521	7469	9013	7376
ENSG00000099800	2767	3194	3326	2593	3245	1817	3219	3957	2683	3381	4289	6089	2446	1650	2140	2808	3855	2888
ENSG00000099804	1676	2201	2768	3655	5066	2517	1401	1777	1300	1777	2519	2845	2006	1592	1943	1659	2222	1763
ENSG00000099810	3455	5131	6756	6843	7945	5354	2584	3643	2220	2605	4415	5171	4538	3491	4853	2359	4460	3374
ENSG00000099812	16	15	17	2	0	0	0	0	0	0	0	0	5	3	7	0	0	0
ENSG00000099814	671	681	831	327	247	134	526	678	523	371	536	606	503	289	367	424	564	540
ENSG00000099817	8230	7579	9573	7509	8912	6168	6780	5679	3420	4643	7833	10497	8280	6148	7498	6431	8330	6337
ENSG00000099821	1889	1760	1958	1562	1682	713	840	1221	860	893	1188	1599	3833	2840	3476	2352	3161	2647
ENSG00000099822	60	55	62	71	78	60	221	262	216	234	270	402	70	53	52	177	264	215
ENSG00000099834	0	0	1	3	2	1	0	0	0	0	0	0	2	8	9	0	0	0
ENSG00000099840	24	30	58	43	36	18	145	163	160	137	168	259	40	18	39	194	267	212
ENSG00000099849	475	551	585	347	282	132	383	499	388	294	366	501	614	399	449	236	294	230
ENSG00000099860	358	399	434	938	1320	824	907	976	715	892	1207	1407	212	172	212	616	918	848
ENSG00000099864	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	2
ENSG00000099866	1	1	3	4	3	0	1	0	0	0	1	2	5	5	8	1	1	0
ENSG00000099869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000099875	9472	10097	12794	8974	9800	5467	6036	7607	5880	4212	6167	8432	7568	5382	6357	6128	7876	6346
ENSG00000099889	2	6	7	2	2	0	10	15	9	7	19	25	9	0	1	17	17	16
ENSG00000099899	1512	1994	1987	1005	894	534	1913	2292	1625	1793	2421	3007	1873	1452	1887	2335	3262	2800
ENSG00000099901	2212	2960	4454	2012	2467	1099	5074	4927	2990	4112	6503	5991	4013	2667	3824	6533	10158	7278
ENSG00000099904	515	626	647	744	669	314	1219	1547	1192	1296	2072	3180	706	508	542	1260	1971	1562
ENSG00000099910	331	469	526	170	120	85	578	827	622	362	628	640	368	211	318	742	990	856
ENSG00000099917	654	719	909	684	934	555	2250	2568	1767	1643	2340	3296	1057	920	1002	2206	3045	2370
ENSG00000099937	0	0	0	0	0	0	43	37	14	113	149	353	0	0	0	27	28	12
ENSG00000099940	780	941	1207	1096	1311	958	1506	1605	1128	1236	2219	2329	1241	1131	1472	1641	2571	1727
ENSG00000099942	3438	4545	5649	6168	7935	6003	6275	7909	5642	5497	8647	9945	3578	3159	4071	4514	7947	5543
ENSG00000099949	991	1362	1705	892	937	553	1685	2122	1267	1119	1777	2456	1750	1477	1737	2056	3347	2312
ENSG00000099953	388	558	623	321	253	198	1035	1464	1093	1006	1759	1690	336	233	260	488	794	609
ENSG00000099954	25	29	42	75	77	69	1620	2244	1428	1477	2309	2530	34	28	25	1385	2381	1547
ENSG00000099956	7860	9378	10039	6915	7604	4409	6375	7287	4682	4856	7893	8039	8484	7478	9207	5025	7248	5099
ENSG00000099957	21	29	42	5	1	1	0	0	0	1	2	4	20	9	25	1	0	0
ENSG00000099958	2085	2819	3573	826	691	500	2797	3960	2656	1511	2451	3513	1725	932	1530	1533	2620	2001
ENSG00000099960	6	2	2	3	1	0	0	0	0	0	0	0	0	2	2	0	0	0
ENSG00000099968	1969	2618	3361	3166	3938	2908	3543	4449	3035	3502	5743	6320	2180	2028	2623	3556	5605	4212
ENSG00000099974	6	8	9	9	12	2	22	31	19	21	23	33	8	10	6	42	56	36
ENSG00000099977	1225	1552	2127	986	1132	683	614	730	491	333	625	714	2017	1358	1939	644	1124	792
ENSG00000099984	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	6	7
ENSG00000099985	7	6	12	3	5	4	8	10	8	9	8	6	2	3	0	4	2	3
ENSG00000099991	7878	8855	9770	5919	5114	3187	3278	4587	2661	2549	4072	4939	7303	4608	6769	3349	5031	3605
ENSG00000099992	220	288	309	155	232	153	264	320	244	203	308	324	226	196	227	264	293	211
ENSG00000099994	79	81	108	34	24	9	4	5	2	1	0	5	82	31	54	1	3	3
ENSG00000099995	5999	8122	10173	9263	10313	8169	7696	8915	5630	7174	11649	13007	7712	6453	8201	7516	11235	8267
ENSG00000099998	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
ENSG00000099999	229	338	423	183	123	84	103	104	108	56	82	113	397	375	447	88	133	110
ENSG00000100003	8	11	18	3	6	2	21	9	13	7	8	6	6	4	12	10	15	10
ENSG00000100012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000100014	1573	1859	2311	2014	1843	1459	1146	1517	967	1101	1759	2046	2053	1855	2196	1443	2207	1566
ENSG00000100023	1059	1514	1912	403	338	232	1970	2821	1617	1560	2301	3049	1684	1455	1976	2817	4407	3019
ENSG00000100024	9	17	25	1	7	1	1	2	1	0	2	0	28	10	14	2	4	4
ENSG00000100027	49	96	118	88	71	54	101	143	128	50	79	63	216	197	221	222	317	279
ENSG00000100028	4568	7224	8673	3357	4606	2682	6777	7144	4850	5191	8713	8127	4232	3159	4551	4677	7877	5331
ENSG00000100029	3751	5547	6211	5096	6113	4336	6004	6402	3942	5479	9177	9773	4741	3854	4897	7047	9885	7388
ENSG00000100030	2706	3641	4423	6102	7556	5734	4428	6052	3870	4736	7797	10279	3331	2672	3350	4276	7444	4992
ENSG00000100031	577	693	882	482	605	314	1597	2142	1834	1399	1669	1892	607	420	592	2389	2767	2255
ENSG00000100033	0	1	1	0	0	0	538	514	428	194	314	478	1	0	1	723	993	724
ENSG00000100034	604	762	808	231	154	91	1145	1677	1234	1149	1735	2103	792	592	662	1351	1919	1528
ENSG00000100036	544	580	638	229	206	130	617	825	571	460	622	879	295	145	222	284	391	318
ENSG00000100038	268	325	447	643	738	469	499	599	415	734	1156	1617	902	727	894	1040	1580	1140
ENSG00000100053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000100055	643	885	1129	319	249	196	192	213	185	133	211	207	588	449	595	180	250	191
ENSG00000100056	300	414	477	442	504	310	505	694	480	554	805	970	571	563	647	780	1039	801
ENSG00000100058	277	477	541	305	312	223	647	806	499	387	580	636	469	402	537	775	1180	797
ENSG00000100060	6006	7151	9220	7887	8500	5287	5048	5890	4271	5838	9094	9269	5075	4125	5461	4447	6590	5312
ENSG00000100065	155	218	255	133	116	67	19	24	29	20	43	29	94	51	96	9	13	15
ENSG00000100068	101	164	216	246	289	195	252	358	252	204	326	457	178	139	201	285	508	311
ENSG00000100075	848	841	1058	246	275	191	2768	2418	2333	1408	1965	2604	918	735	968	1764	2605	2102
ENSG00000100077	1094	1609	1767	1486	1648	1277	424	529	334	176	360	383	1202	1028	1445	187	343	227
ENSG00000100078	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000100079	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000100083	1600	1767	2161	1353	1321	833	2185	3051	2057	1817	2718	3483	2001	1493	1813	2784	4419	3134
ENSG00000100084	743	1253	1641	715	816	448	821	1076	731	949	1785	1918	1021	885	1021	1198	1750	1419
ENSG00000100092	2600	3085	3425	1232	1310	761	2325	2690	2073	1890	3075	3986	2941	2005	2679	2019	2805	2193
ENSG00000100095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000100097	1515	1550	2933	1256	683	596	1760	4188	2018	2987	3401	5465	1283	735	1158	3222	4157	2752
ENSG00000100099	1875	2719	3425	2647	2906	2064	1978	2732	1636	1962	3406	3577	2751	2538	3152	1990	3307	2277
ENSG00000100100	884	1159	1487	6115	8197	5754	399	595	506	597	766	1074	1352	1825	1369	582	1015	820
ENSG00000100101	983	1247	1656	1347	1731	1545	589	623	456	664	1499	1165	1631	1326	1764	968	1237	884
ENSG00000100104	2132	3097	3883	2498	3628	2250	1994	2579	1628	1422	2454	2339	2393	2112	2707	2151	3411	2393
ENSG00000100105	2308	2430	2988	2016	1835	1327	2067	2448	1614	1204	2085	2348	2137	1738	2284	1555	2353	1729
ENSG00000100106	210	282	364	114	138	68	263	354	232	166	300	361	541	405	554	420	726	493
ENSG00000100109	2202	2842	3745	4833	6439	4850	2322	2840	1643	2809	3988	4576	3129	2817	3489	2909	4413	3127
ENSG00000100116	456	675	709	73	69	43	1210	1535	1019	668	930	1109	413	270	373	1266	1583	1338
ENSG00000100121	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	4	3	5
ENSG00000100122	48	58	64	53	45	42	2643	3462	2543	2040	3073	6631	12	6	9	1933	2847	1447
ENSG00000100124	679	882	1158	816	839	594	774	931	611	812	1267	1639	979	844	1051	1028	1492	1059
ENSG00000100129	8454	15216	16773	7553	8492	6671	12588	14035	10611	8206	13515	14185	12501	12358	15282	12705	21087	16086
ENSG00000100138	10278	11833	14917	12438	14016	10100	9858	11466	7306	8011	13243	13623	9533	7684	10216	8355	12704	9307
ENSG00000100139	1303	1489	1756	904	815	519	1067	1335	841	744	1333	1547	1796	1366	1624	806	1317	912
ENSG00000100142	1734	2055	2460	2254	2952	1955	2346	2363	1346	2611	4001	3408	2120	1567	2029	2093	3092	2018
ENSG00000100146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000100147	153	267	332	148	143	97	177	249	172	132	206	180	374	304	414	228	321	235
ENSG00000100150	376	520	592	321	300	223	507	623	427	433	779	776	935	781	1026	748	1223	859
ENSG00000100151	155	186	228	266	270	164	237	318	225	213	374	436	400	272	293	281	433	333
ENSG00000100154	1004	1087	1531	1566	1576	1246	209	282	211	120	279	119	755	632	848	119	220	171
ENSG00000100156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000100162	626	593	675	49	37	20	581	770	529	220	308	393	1111	763	1017	1022	1376	1093
ENSG00000100167	5181	7645	10217	1669	1407	867	123	175	141	62	159	114	2073	1494	2253	71	60	51
ENSG00000100170	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000100181	4	2	4	3	0	2	48	56	48	38	58	33	49	17	30	49	109	64
ENSG00000100191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000100196	256	365	440	126	82	57	164	177	158	75	127	84	195	175	202	94	190	140
ENSG00000100197	12	11	10	9	4	3	3	2	1	1	2	2	15	10	15	2	11	3
ENSG00000100201	19596	27350	35625	27764	30792	22259	15267	21368	15917	16450	26084	31008	20649	15937	23087	13600	26279	20273
ENSG00000100206	126	231	235	289	300	280	78	89	62	90	150	90	516	488	714	178	287	227
ENSG00000100207	6211	7586	9370	8500	9253	7100	3421	4565	3203	3018	4580	5342	5861	4877	6253	3276	5607	3734
ENSG00000100209	271	375	413	842	1007	703	220	251	190	326	543	457	711	587	813	364	570	402
ENSG00000100211	664	910	1126	1410	1648	1115	279	336	226	233	407	348	996	992	1190	287	429	312
ENSG00000100216	5887	7372	9181	7975	9794	7265	5314	6119	3630	4978	8291	8278	5536	4263	6023	3921	5986	4092
ENSG00000100218	0	0	2	1	3	0	1	1	2	4	1	2	0	0	2	6	6	5
ENSG00000100219	8114	12340	15609	16811	23915	16032	11654	15736	11035	8200	15426	13478	4967	4475	5736	8121	14099	11222
ENSG00000100220	2734	3473	5010	2904	4048	2449	7039	7287	5069	6761	9979	9265	3478	3358	4064	7096	10438	7479
ENSG00000100221	2696	3695	4330	4122	4174	2883	4105	5202	3629	3492	5785	6179	2978	2226	2909	3439	5368	4008
ENSG00000100225	3200	4747	6037	6444	8062	5288	3895	4986	3387	3686	6503	7384	4604	4125	5092	4324	6991	4960
ENSG00000100226	2352	2944	3889	4057	4932	3618	3673	4617	3432	4201	5893	7450	2153	1729	2303	2420	3589	2694
ENSG00000100227	4060	5426	6742	8095	9073	6778	3138	3963	2695	3590	5699	6037	6539	6187	7590	3914	5743	4461
ENSG00000100228	195	239	331	112	100	89	238	314	193	387	510	612	108	91	145	196	271	209
ENSG00000100234	0	0	0	0	0	0	5	3	1	11	5	5	0	0	0	6	6	4
ENSG00000100239	1458	1759	2330	566	617	290	893	1228	908	426	659	870	2151	1576	2147	1189	1695	1312
